"word","meaning"
"Параметр","Величина, входящая в математическую формулусохраняющая свое постоянное значение лишь в условиях данной задачи"
"Переход","Расстояние, которое можно пройти без остановки за какой-л определенный срок"
"Перезагрузка","Процесс, при котором компьютер либо другое устройство полностью очищает или восстанавливает содержимое оперативной памяти и возобновляет свою работу"
"Переменная","Именованная часть памяти, в которую могуомещаться разные значения"
"Платформа","Ровная возвышенная площадка, сделанная из твердого материала"
"Поступок","Намеренное действие, совершенное кем-л"
"Презентация","Официальное представление чего-либо"
"Протокол","Документ, содержащий запись всего происходившего на заседании, собрании, судебном процессе"
"Программа","Содержаниеплан предстоящей деятельности, работ"
"Процесс","Последовательная смена каких-л явлений, состояний, ход развития чего-л"
"Процессор","Устройство или программа, целью которых является выполнение машинных инструкций и обработка данных"
"Психология","Наука о закономерностях, развитииформах психической деятельности"
"Реализация","Осуществление, проведение в жизнь чего-л намеченного"
"Ремонт","Исправление повреждений, поломок, изъянов"
"Репликация","Данных из одного источника на другой (или на множество других)"
"Репозиторий","Место хранения (программ, объектов, метаданных, коммитов гитхаб и т п)"
"Ресурс","Имеющиеся в наличии запасы, средства, которые используются при необходимости"
"Риск","Действие наудачу, требующее смелости, бесстрашия, в надежде на счастливый исход"
"Сенсор","датчик; первичный преобразователь, элемент, воспринимающий контролируемое воздействие"
"Система","Множество элементов, находящихся в отношенияхсвязях друг с другомобразующих определенную целостность, единство"
"Скрипт","Последовательность команд, инструкций на сценарном языке, использующаяся для автоматизации рутинных задач, описания поведения персонажа в компьютерной игре"
"Событие","То, что произошло, случилось, значительное явление, факт общественной или личной жизни"
"Специализация","Это углублённое изучение относительно узкого поля деятельности"
"Способность","Возможность осуществлять какую-л деятельность, умение делать что-л, вести себя каким-л образом"
"Стабильность","Способность системы функционировать, не изменяя собственную структуру,находиться в равновесии"
"Стандарт","Типовой образец, которому должно удовлетворять что-л по размерам, форме, качеству"
"Сценарий","Сюжетная схема, план театральной пьесы"
"Технология","Совокупность знаний о способах обработки материалов, изделий, методах осуществления каких-л производственных процессов"
"Тема","Предмеовествования, изображения, исследования"
"Тестирование","Проведение теста, испытание чего-либо"
"Трансляция","Передача на расстояние речи, музыки, изображения по радио или телевидению, осуществляемая непосредственно с места действия (из театра, со стадиона)"
"Удаление","Устранение, изъятие"
"Услуга","Действие, приносящее помощь, пользу другому"
"Узел","Затянутая петля на веревке, канате, а также место, где связаны концы чего-л"
"Формат","Размер книги, листа, карточки"
"Функция","Явление, зависящее от другогоизменяющееся по мере изменения другого явления"
"Хранение","Соглашение, процесс, подразумевающий под собой обязательство сохранитьвпоследствии возвратить владельцу переданную на хранение вещь"
"Цель","То, к чему стремятся, чего хотят достичь"
"Человечество","Люди, человеческий род"
"Эволюция","Процесс изменения, развития кого-, чего-л от одного состояния к другому"
"Эмоции","Чувство, переживание человека"
"Абсолют","Самодовлеющее, независимое от каких-либо условий, отношений"
"Активизация","Побуждение к более активной деятельности "
"Альтернатива","Необходимость выбора между двумя или несколькими исключающими друг друга возможностями"
"Аномалия","Отклонение от нормы; неправильность"
"Аргумент","Основание, довод, приводимые для доказательства чего-л"
"Аттестат","Официальный документ об окончании учебного заведения"
"Аудит","Независимая проверка бухгалтерского учёта организации"
"Адаптировать","Приспособить (приспособлять), облегчить (облегчать)"
"Базовый","Принятый за основу; типовой"
"Банковский","Относящийся к банкам, деятельности банков"
"Барьер","Перегородка, поставленная в качестве препятствия на пути"
"Бенчмарк","Компьютерная программа, которая служит для сравнения производительности компьютеров или операционных систем"
"Верификация","Действие по значению гл верифицировать; проверка истинности, правильности, достоверности чего-либо"
"Визуализация","Действие по значению гл визуализовать; представление чего-либо (физического процесса, явления, базы данных и т п) в форме, удобной для наблюдения"
"Влияние","Действие, оказываемое кем-, чем-л на кого-, что-л; воздействие"
"Внедрение","Заставить утвердиться в чем-л, заставить прочно войти во что-л"
"Вопрос","Обращение к кому-л, требующее ответа, разъяснения"
"Враг","Тот, кто находится в состоянии вражды, борьбы с кем-л; противник, недруг"
"Время","Длительность существования всего происходящего, всех явленийпредметов, измеряемая веками, годами, часами, минутами"
"Гарантировать","Оградить (ограждать), защитить (защищать)"
"Геометрия","Раздел математики, изучающий пространственные формыотношения тел"
"Гибкость","Свойство по значению прилагательного гибкий [1], способность легко гнуться"
"Глобальный","Охватывающий весь земной шар, весь мир, всеобщий Глобальная радиосвязь"
"Графический","Выраженный при помощи графика; изображенный посредством чертежа"
"Группа","Несколько человек, предметов или животных, находящихся вместе, близко друг от друга"
"Диагностика","Раздел медицины, изучающий признаки болезней, методыпринципы установления диагноза"
"Диверсификация","Увеличение ассортимента производимых товаров, типов производства, направлений инвестицийдругих видов деятельности"
"Докажите","Подтвердить истинность, правильность чего-л фактами, неопровержимыми доводами"
"Допуск","предоставление доступа куда-л, к кому-, чему-л"
"Доступ","Место, по которому можно подойти, приблизиться к чему-л; проход к чему-л"
"Интеграция","Объединение в целое каких-л частей"
"Исследование","Систематичное рассмотрение, изучение, чего-либо"
"Исправление","Изменение, поправка"
"История","Совокупность фактовсобытий, относящихся к прошлой жизни; прошлое, сохраняющееся в памяти людей"
"Категория","Понятие, отражающее наиболее общие свойствасвязи явлений материального мира"
"Картография","Наука о составлении географических карт, а также самое их составление"
"Клиент","Лицо, поручившее ведение своего дела адвокату, нотариусу"
"Книжный","Почерпнутый только из книг, не подкрепленный практической деятельностью, отвлеченный"
"Коммуникация","Путь сообщения, связь одного места с другим"
"Конфигурация","Взаимное расположение каких-л предметов, соотношение отдельных частей сложных предметов"
"Ключ","Металлическое приспособление для запиранияотпирания замка"
"Когнитивный","Процесс, с помощью которого происходит обработка информации нашим сознанием"
"Коллега","Товарищ по работе, по совместной учебе (в высшей школе), по профессии"
"Компиляция","Составление каких-л сочинений путем заимствования всех данных из чужих исследований без самостоятельной работы над первоисточниками"
"Конструктор","Набор частей, деталей, из которых дети строят разные сооружения"
"Контроль","Наблюдение с целью проверки; проверка"
"Корректировка","Внесение поправок в наводку орудий по результатам наблюдений с наблюдательных пунктов, самолетов, аэростатов"
"Лицензия","Разрешение, выдаваемое государственными органами на право ввоза или вывоза товаров, а также документ, удостоверяющий это право"
"Логистик","Лицо, занимающееся проблемами складированияперевозки груза"
"Мануал","Руководство пользователя"
"Медиа","То же, что средства массовой информации"
"Модерация","Проверка сообщений, постов, публикуемых на веб-форуме, в чате, на соответствие тематикеправилам ресурса"
"Мобильный","Способный к быстрому передвижению, перемещению; подвижный"
"Мониторинг","Постоянное наблюдение за каким-либо процессом с целью изучения его динамикипроверки его соответствия чему-либо"
"Набор","Совокупность предметов одной области применения"
"Нормализация","Приведение к нормальной форме"
"Новаторство","Нововведение, новшество"
"Оперативность","Способность правильно и быстро осуществлять те или иные практические задачи"
"Опыт","Совокупность знаний, навыков, умения, вынесенных из жизни, практической деятельности"
"Организм","Живое целое (существо или растение) с его согласованно действующими органами"
"Оценка","Мнение, суждение о качестве, достоинстве, значении кого-, чего-л"
"Параллелизм","Равное на всем протяжении отстояние друг от друга линийплоскостей"
"Платеж","Любая форма оплаты, действие, приводящее к возможности распоряжения получателем платежа деньгами, передаваемыми плательщиком"
"Абие","Тотчас, с тех пор как, когда"
"Абы","Чтобы, дабы"
"Агнец","Ягненок, барашек"
"Аз","Местоимение «я» или наименование первой буквы алфавита"
"Аки","Как, так как, подобно, словно, как бы"
"Алтын","Старинная серебряная монета достоинством в три копейки"
"Алчешь","Жадно хотеть"
"Ан, аже","Если же, между тем, ведь"
"Анбар (амбар)","Строение для хранения хлеба или товаров"
"Арака","Пшеничная водка"
"Арапчик","Голландский червонец"
"Армяк","Мужская верхняя одежда из суконной или шерстяной ткани"
"Аршин","Линейка, планка такой длины для измерения"
"Аще","Если, ежели, когда"
"Бадог","Батог, палка, посох, хлыст"
"Баженый","Любить, желать, иметь склонность"
"Базланить","Реветь, кричать"
"Барда","Гуща, остатки оерегона хлебного вина, используемые на откорм скоту"
"Баской","Красивый, нарядный"
"Басок","Красивый, пригожий, украшенный"
"Бастион","Земляное или каменное укрепление, образующее выступ на крепостном валу"
"Баталья","Битва, сражение"
"Бахарь","Говорун, краснобай"
"Баять","Говорить, болтать, беседовать"
"Бдеть","Беглость"
"Братыня","Братина, сосуд для пива."
"Валы","Волны"
"Вежество","Воспитанность, учтивость, вежливость"
"Веретье","Грубая ткань из конопли"
"Верша","Рыболовный снаряд, сделанный из прутьев"
"Веселко","Мешалка"
"Вечка","Медная кастрюля"
"Вечор","Вчера вечером, вчера"
"Войт","Старшина в сельском округе, выборный староста"
"Гашник","Пояс, ремень, шнурок для завязки штанов"
"Гинуть","Сгинуть, пропадать"
"Глезно","Голень, лодыжка"
"Голик","Веник без листьев"
"Горница","Комната, расположенная обычно в верхнем этаже дома"
"Грош","Старинная монета достоинством в две копейки"
"Деверь","Брат мужа"
"Действители","Актеры"
"Денница","Утренняя заря"
"Животы","Живность, достаток, богатство"
"Житник","Ржаной или ячменный печеный хлеб"
"Забедовать","Жаловаться, плакаться"
"Залучать","Заманивать"
"Зарадеться","Обрадоваться"
"Зень","Земля"
"Избыть","Погубить, извести, сбыть"
